<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ЛУКОЙЛ;D;21/03/13;000000;1940;855047
ЛУКОЙЛ;D;22/03/13;000000;1943;737025
ЛУКОЙЛ;D;25/03/13;000000;1923;769311
ЛУКОЙЛ;D;26/03/13;000000;1938;993355
ЛУКОЙЛ;D;27/03/13;000000;1969.5;1222104
ЛУКОЙЛ;D;28/03/13;000000;1996.9;759756
ЛУКОЙЛ;D;29/03/13;000000;1998.5;268570
ЛУКОЙЛ;D;01/04/13;000000;1975;474839
ЛУКОЙЛ;D;02/04/13;000000;1990.5;448231
ЛУКОЙЛ;D;03/04/13;000000;1973.9;756899
ЛУКОЙЛ;D;04/04/13;000000;1967.6;727079
ЛУКОЙЛ;D;05/04/13;000000;1935.6;1290480
ЛУКОЙЛ;D;08/04/13;000000;1920.1;891218
ЛУКОЙЛ;D;09/04/13;000000;1961.1;834555
ЛУКОЙЛ;D;10/04/13;000000;1948.8;637288
ЛУКОЙЛ;D;11/04/13;000000;1927.3;1023077
ЛУКОЙЛ;D;12/04/13;000000;1929.4;614627
ЛУКОЙЛ;D;15/04/13;000000;1898.8;1007560
ЛУКОЙЛ;D;16/04/13;000000;1901;589453
ЛУКОЙЛ;D;17/04/13;000000;1902;792032
ЛУКОЙЛ;D;18/04/13;000000;1892.8;771289
ЛУКОЙЛ;D;19/04/13;000000;1882;924531
ЛУКОЙЛ;D;22/04/13;000000;1868.7;944335
ЛУКОЙЛ;D;23/04/13;000000;1898.1;1051191
ЛУКОЙЛ;D;24/04/13;000000;1964.1;1133899
ЛУКОЙЛ;D;25/04/13;000000;1959;1026080
ЛУКОЙЛ;D;26/04/13;000000;1950;793779
ЛУКОЙЛ;D;29/04/13;000000;1932;440174
ЛУКОЙЛ;D;30/04/13;000000;1972.5;789291
ЛУКОЙЛ;D;02/05/13;000000;1973.6;478245
ЛУКОЙЛ;D;03/05/13;000000;2006;467906
ЛУКОЙЛ;D;06/05/13;000000;2013.4;573584
ЛУКОЙЛ;D;07/05/13;000000;2036.8;1386975
ЛУКОЙЛ;D;08/05/13;000000;2037;896733
ЛУКОЙЛ;D;10/05/13;000000;2039.7;496989
ЛУКОЙЛ;D;13/05/13;000000;2049.4;991797
ЛУКОЙЛ;D;14/05/13;000000;2024;1010578
ЛУКОЙЛ;D;15/05/13;000000;2020.2;568847
ЛУКОЙЛ;D;16/05/13;000000;1998.3;548325
ЛУКОЙЛ;D;17/05/13;000000;2025.3;613458
ЛУКОЙЛ;D;20/05/13;000000;2025.1;481014
ЛУКОЙЛ;D;21/05/13;000000;2041.9;543087
ЛУКОЙЛ;D;22/05/13;000000;2080;1199496
ЛУКОЙЛ;D;23/05/13;000000;2031.5;1295008
ЛУКОЙЛ;D;24/05/13;000000;2009;905410
ЛУКОЙЛ;D;27/05/13;000000;1993;498622
ЛУКОЙЛ;D;28/05/13;000000;2012.3;976859
ЛУКОЙЛ;D;29/05/13;000000;1940.2;1503662
ЛУКОЙЛ;D;30/05/13;000000;1919.4;1167286
ЛУКОЙЛ;D;31/05/13;000000;1878;1591149
ЛУКОЙЛ;D;03/06/13;000000;1883.3;1553086
ЛУКОЙЛ;D;04/06/13;000000;1878.4;854933
ЛУКОЙЛ;D;05/06/13;000000;1880.1;1411578
ЛУКОЙЛ;D;06/06/13;000000;1868;901870
ЛУКОЙЛ;D;07/06/13;000000;1918;1277909
