<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
Сбербанк;D;18/05/12;000000;78.19;391700980
Сбербанк;D;21/05/12;000000;81.95;205764160
Сбербанк;D;22/05/12;000000;82.82;185386800
Сбербанк;D;23/05/12;000000;78.65;188314100
Сбербанк;D;24/05/12;000000;81.44;224620340
Сбербанк;D;25/05/12;000000;79.87;175505600
Сбербанк;D;28/05/12;000000;80.37;104526820
Сбербанк;D;29/05/12;000000;84.14;217454140
Сбербанк;D;30/05/12;000000;82.38;207458020
Сбербанк;D;31/05/12;000000;81.69;261418600
Сбербанк;D;01/06/12;000000;78.86;195306920
Сбербанк;D;04/06/12;000000;78.1;163454720
Сбербанк;D;05/06/12;000000;78.11;134177110
Сбербанк;D;06/06/12;000000;80.62;179165000
Сбербанк;D;07/06/12;000000;83.44;210832240
Сбербанк;D;08/06/12;000000;81.38;180114510
Сбербанк;D;09/06/12;000000;81.58;27759130
Сбербанк;D;13/06/12;000000;83.04;148406110
Сбербанк;D;14/06/12;000000;83.05;95193610
Сбербанк;D;15/06/12;000000;84.34;139141590
Сбербанк;D;18/06/12;000000;86.2;148837240
Сбербанк;D;19/06/12;000000;86.96;117555770
Сбербанк;D;20/06/12;000000;85.73;91968250
Сбербанк;D;21/06/12;000000;85.36;123303180
Сбербанк;D;22/06/12;000000;83.76;110165790
Сбербанк;D;25/06/12;000000;82.3;103217620
Сбербанк;D;26/06/12;000000;83.6;103686890
Сбербанк;D;27/06/12;000000;84.5;95345170
Сбербанк;D;28/06/12;000000;82.8;106434890
Сбербанк;D;29/06/12;000000;86.39;134360810
Сбербанк;D;02/07/12;000000;87.65;124198380
Сбербанк;D;03/07/12;000000;90.94;147059480
Сбербанк;D;04/07/12;000000;91.1;74889060
Сбербанк;D;05/07/12;000000;90.92;171353550
Сбербанк;D;06/07/12;000000;89.2;127342730
Сбербанк;D;09/07/12;000000;90.02;99331850
Сбербанк;D;10/07/12;000000;91;114587200
Сбербанк;D;11/07/12;000000;90.01;113419770
Сбербанк;D;12/07/12;000000;88.92;106413970
Сбербанк;D;13/07/12;000000;90.98;96078380
Сбербанк;D;16/07/12;000000;90.85;71919810
Сбербанк;D;17/07/12;000000;91.22;114044370
Сбербанк;D;18/07/12;000000;91.6;69043120
Сбербанк;D;19/07/12;000000;92.15;102096140
Сбербанк;D;20/07/12;000000;90.12;81329600
Сбербанк;D;23/07/12;000000;86;151248620
Сбербанк;D;24/07/12;000000;84.45;139889040
Сбербанк;D;25/07/12;000000;86.9;204992030
Сбербанк;D;26/07/12;000000;88.45;155942810
Сбербанк;D;27/07/12;000000;90.31;115108250
Сбербанк;D;30/07/12;000000;91.24;89795510
Сбербанк;D;31/07/12;000000;89.73;104652230
Сбербанк;D;01/08/12;000000;89.39;92766490
Сбербанк;D;02/08/12;000000;88.79;154257240
Сбербанк;D;03/08/12;000000;91.66;126328370
Сбербанк;D;06/08/12;000000;93.3;185823220
Сбербанк;D;07/08/12;000000;93.97;115326320
Сбербанк;D;08/08/12;000000;93.94;94891340
Сбербанк;D;09/08/12;000000;93.87;110866830
Сбербанк;D;10/08/12;000000;92.85;88352720
Сбербанк;D;13/08/12;000000;93.18;95856680
Сбербанк;D;14/08/12;000000;93.58;74818210
Сбербанк;D;15/08/12;000000;92.98;116026880
Сбербанк;D;16/08/12;000000;92.82;80646440
Сбербанк;D;17/08/12;000000;92.05;81586390
Сбербанк;D;20/08/12;000000;91.52;93102360
Сбербанк;D;21/08/12;000000;93.57;95928090
Сбербанк;D;22/08/12;000000;92.55;82536390
Сбербанк;D;23/08/12;000000;93.04;150287250
Сбербанк;D;24/08/12;000000;92.91;100632610
Сбербанк;D;27/08/12;000000;92.81;75908300
Сбербанк;D;28/08/12;000000;94.48;130671700
Сбербанк;D;29/08/12;000000;94.54;126515990
Сбербанк;D;30/08/12;000000;93.49;78356390
Сбербанк;D;31/08/12;000000;93.16;86066010
Сбербанк;D;03/09/12;000000;94.08;59763380
Сбербанк;D;04/09/12;000000;93.09;77520910
Сбербанк;D;05/09/12;000000;92.85;93166920
Сбербанк;D;06/09/12;000000;93.95;143877140
Сбербанк;D;07/09/12;000000;93.86;158549880
Сбербанк;D;10/09/12;000000;94.44;79357240
Сбербанк;D;11/09/12;000000;94.03;77186830
Сбербанк;D;12/09/12;000000;93.58;94913420
Сбербанк;D;13/09/12;000000;92.75;80882070
Сбербанк;D;14/09/12;000000;97.05;249373220
Сбербанк;D;17/09/12;000000;95.57;215450280
Сбербанк;D;18/09/12;000000;94.75;146341080
Сбербанк;D;19/09/12;000000;93.78;314614770
Сбербанк;D;20/09/12;000000;93.77;135170300
Сбербанк;D;21/09/12;000000;94.16;110055620
Сбербанк;D;24/09/12;000000;94.17;70281780
Сбербанк;D;25/09/12;000000;93.75;86913310
Сбербанк;D;26/09/12;000000;90.75;122383640
Сбербанк;D;27/09/12;000000;90.07;128304760
Сбербанк;D;28/09/12;000000;90.99;115659920
Сбербанк;D;01/10/12;000000;92.33;96865770
Сбербанк;D;02/10/12;000000;91.9;92216290
Сбербанк;D;03/10/12;000000;91.92;92187360
Сбербанк;D;04/10/12;000000;91.47;88357530
Сбербанк;D;05/10/12;000000;93.02;105435230
Сбербанк;D;08/10/12;000000;92.6;67933360
Сбербанк;D;09/10/12;000000;92.63;66845380
Сбербанк;D;10/10/12;000000;92.29;76743700
Сбербанк;D;11/10/12;000000;92.64;67188530
Сбербанк;D;12/10/12;000000;91.5;64442000
Сбербанк;D;15/10/12;000000;91.28;60382100
Сбербанк;D;16/10/12;000000;92.19;69671940
Сбербанк;D;17/10/12;000000;93.12;87599870
Сбербанк;D;18/10/12;000000;93.7;87822570
Сбербанк;D;19/10/12;000000;93.19;54653190
Сбербанк;D;22/10/12;000000;94.1;74302250
Сбербанк;D;23/10/12;000000;93.59;82362330
Сбербанк;D;24/10/12;000000;93.38;70765510
Сбербанк;D;25/10/12;000000;92.89;56074380
Сбербанк;D;26/10/12;000000;91.95;74421830
Сбербанк;D;29/10/12;000000;91.7;42768390
Сбербанк;D;30/10/12;000000;91.2;53669620
Сбербанк;D;31/10/12;000000;91.79;52078220
Сбербанк;D;01/11/12;000000;91.84;75235560
Сбербанк;D;02/11/12;000000;91.95;65873010
Сбербанк;D;06/11/12;000000;91.34;44943440
Сбербанк;D;07/11/12;000000;89.95;74823010
Сбербанк;D;08/11/12;000000;86.34;165131550
Сбербанк;D;09/11/12;000000;85.8;95025380
Сбербанк;D;12/11/12;000000;86.78;59443610
Сбербанк;D;13/11/12;000000;84.31;99054530
Сбербанк;D;14/11/12;000000;84.72;92902150
Сбербанк;D;15/11/12;000000;86.09;70310980
Сбербанк;D;16/11/12;000000;85.98;64487940
Сбербанк;D;19/11/12;000000;87.34;79184100
Сбербанк;D;20/11/12;000000;87;51272950
Сбербанк;D;21/11/12;000000;87.88;59972480
Сбербанк;D;22/11/12;000000;88.01;52442710
Сбербанк;D;23/11/12;000000;89.31;74279650
Сбербанк;D;26/11/12;000000;89.2;67160860
Сбербанк;D;27/11/12;000000;89.2;51715520
Сбербанк;D;28/11/12;000000;87.73;88213390
Сбербанк;D;29/11/12;000000;87.91;64675400
Сбербанк;D;30/11/12;000000;91.41;233229880
Сбербанк;D;03/12/12;000000;92.8;96786480
Сбербанк;D;04/12/12;000000;91.84;67729150
Сбербанк;D;05/12/12;000000;93.83;99995520
Сбербанк;D;06/12/12;000000;93.58;62369850
Сбербанк;D;07/12/12;000000;93.2;90578870
Сбербанк;D;10/12/12;000000;93.59;72022760
Сбербанк;D;11/12/12;000000;93.52;53455990
Сбербанк;D;12/12/12;000000;93.86;49309880
Сбербанк;D;13/12/12;000000;93.39;68690570
Сбербанк;D;14/12/12;000000;93.42;47556860
Сбербанк;D;17/12/12;000000;93.54;44895400
Сбербанк;D;18/12/12;000000;95.11;81438130
Сбербанк;D;19/12/12;000000;94.53;76536940
Сбербанк;D;20/12/12;000000;94.69;62420680
Сбербанк;D;21/12/12;000000;93.5;51219970
Сбербанк;D;24/12/12;000000;92.5;36121680
Сбербанк;D;25/12/12;000000;92.38;19963590
Сбербанк;D;26/12/12;000000;92.35;30263790
Сбербанк;D;27/12/12;000000;92.82;40300900
Сбербанк;D;28/12/12;000000;92.94;40330670
Сбербанк;D;08/01/13;000000;98.37;93018220
Сбербанк;D;09/01/13;000000;98.23;60381320
Сбербанк;D;10/01/13;000000;98.41;48070490
Сбербанк;D;11/01/13;000000;99.56;72444300
Сбербанк;D;14/01/13;000000;100.99;83905910
Сбербанк;D;15/01/13;000000;99.85;80028950
Сбербанк;D;16/01/13;000000;99.97;67772490
Сбербанк;D;17/01/13;000000;101.15;83900990
Сбербанк;D;18/01/13;000000;103.48;110211790
Сбербанк;D;21/01/13;000000;103.64;77699540
Сбербанк;D;22/01/13;000000;102.35;85613360
Сбербанк;D;23/01/13;000000;103.45;91850150
Сбербанк;D;24/01/13;000000;102.48;81708620
Сбербанк;D;25/01/13;000000;103.67;87251770
Сбербанк;D;28/01/13;000000;106.9;141249630
Сбербанк;D;29/01/13;000000;106.55;131445070
Сбербанк;D;30/01/13;000000;107.8;121194220
Сбербанк;D;31/01/13;000000;109.59;205604760
Сбербанк;D;01/02/13;000000;108.36;114548780
Сбербанк;D;04/02/13;000000;107.2;69878080
Сбербанк;D;05/02/13;000000;107.75;55367010
Сбербанк;D;06/02/13;000000;106.8;102458360
Сбербанк;D;07/02/13;000000;105.65;90215330
Сбербанк;D;08/02/13;000000;107.08;80301560
Сбербанк;D;11/02/13;000000;107.04;58149330
Сбербанк;D;12/02/13;000000;108.48;106179170
Сбербанк;D;13/02/13;000000;108.8;73513340
Сбербанк;D;14/02/13;000000;107.62;140876070
Сбербанк;D;15/02/13;000000;105.08;98640570
Сбербанк;D;18/02/13;000000;106.23;64926220
Сбербанк;D;19/02/13;000000;108.73;83376300
Сбербанк;D;20/02/13;000000;107.82;76411420
Сбербанк;D;21/02/13;000000;106.74;79182010
Сбербанк;D;22/02/13;000000;106.12;51473030
Сбербанк;D;25/02/13;000000;106.61;43229580
Сбербанк;D;26/02/13;000000;104.14;94812160
Сбербанк;D;27/02/13;000000;103.45;59551830
Сбербанк;D;28/02/13;000000;104.57;69121850
Сбербанк;D;01/03/13;000000;103.09;60711070
Сбербанк;D;04/03/13;000000;102.9;52460180
Сбербанк;D;05/03/13;000000;103.91;83270600
Сбербанк;D;06/03/13;000000;105.33;65084620
